Brand,Price,Location,Rating,Sold
Hp,Rp6.990.000,Jakarta Utara,4.9,100+ terjual
Asus,Rp19.999.000,Jakarta Utara,5.0,7 terjual
Advan,Rp4.449.000,Jakarta Pusat,5.0,100+ terjual
Asus,Rp7.399.000,Jakarta Utara,5.0,500+ terjual
Lenovo,Rp7.799.000,Jakarta Utara,4.9,50+ terjual
Dell,Rp1.200.000,Bandung,5.0,12 terjual
Asus,Rp7.899.000,Jakarta Barat,5.0,1 terjual
Asus,Rp9.899.000,Jakarta Pusat,5.0,4 terjual
Asus,Rp9.699.000,Jakarta Utara,0,0 terjual
Asus,Rp8.899.000,Jakarta Pusat,5.0,24 terjual
Asus,Rp9.359.000,Jakarta Pusat,5.0,500+ terjual
Asus,Rp8.399.000,Jakarta Pusat,5.0,7 terjual
Infinix,Rp3.350.000,Malang,0,0 terjual
Asus,Rp2.750.000,Jakarta Selatan,5.0,3 terjual
Axioo,Rp7.649.000,Jakarta Selatan,5.0,50+ terjual
Hp,Rp5.949.000,Jakarta Pusat,5.0,5 terjual
Lenovo,Rp1.475.000,Surabaya,5.0,6 terjual
Hp,Rp2.249.250,Jakarta Barat,4.8,29 terjual
Lenovo,Rp13.799.000,Jakarta Utara,0,0 terjual
Lenovo,Rp8.399.000,Jakarta Barat,5.0,500+ terjual
Lenovo,Rp300.000,Kab. Gresik,0,2 terjual
Asus,Rp2.000.000,Bandung,0,0 terjual
Asus,Rp11.499.000,Jakarta Pusat,5.0,8 terjual
Lenovo,Rp3.650.000,Jakarta Pusat,5.0,70+ terjual
Axioo,Rp2.749.000,Jakarta Selatan,5.0,250+ terjual
Advan,Rp7.999.000,Tangerang,4.4,13 terjual
Asus,Rp3.100.000,Tangerang,0,1 terjual
Asus,Rp1.250.000,Jakarta Barat,4.8,70+ terjual
Hp,Rp2.500.000,Jakarta Barat,4.7,250+ terjual
Asus,Rp7.399.000,Surabaya,0,2 terjual
Lenovo,Rp1.600.000,Jakarta Barat,5.0,6 terjual
