Name,Price,Location,Rating,Sold
Lenovo Ideapad Slim 1 14 N4020 8GB 512SSD Windows 11 14 Inch,Rp4.449.000,Jakarta Selatan,5.0,1rb+ terjual
ASUS ZENBOOK 14 OLED UM3406HA TOUCH RYZEN 7 8840 7730 - RYZEN 5 7530 16GB 1TB 512GB SSD W11 14.0 2.8K - UM3402YA,Rp13.399.000,Jakarta Utara,5.0,22 terjual
"Laptop Seri Langka, Limited Edition, Gaming Editing Libas  Dell Precision 5510, Core i7-6820HQ, Ram 16Gb/256Gb, #Nvidia Quadro M1000M 2Gb, #Backlight, Lengkap, Black Silver",Rp5.500.000,Jakarta Barat,5.0,2 terjual
Lenovo Thinkpad X1 Yoga Gen-6 Ultralight 2in1 Core i7-11th Evo RAM 32GB 1TB SSD Touchscreen,Rp12.999.000,Jakarta Pusat,5.0,5 terjual
"ADVAN Workplus AMD Ryzen 5 6600H 14"" FHD IPS 16GB/1TB Laptop Notebook Free Windows 11 Upgradeable",Rp6.999.000,Kab. Tangerang,4.9,7rb+ terjual
LAPTOP DELL LATITUDE 3420 - i5 1135G7 16GB SSD 256GB/512GB SSD/1TB HDD,Rp12.699.000,Jakarta Pusat,4.8,100+ terjual
Lenovo V14 G4 AMN Ryzen 3 7320u 8GB 256SSD 14 Inch FHD Windows 11 OHS WRID,Rp5.249.000,Jakarta Utara,4.8,27 terjual
Fujitsu Lifebook U939 2 IN 1 Touch Core I7 | I5 GEN 8 RAM 16GB 1TB,Rp2.300.000,Jakarta Barat,5.0,40+ terjual
HP Victus 15 RTX 3050 6GB Core i5 13420H Ram 16GB 512GB SSD Windows 11 + Microsoft Office Home 15.6″ FHD 144Hz IPS 300nits,Rp9.949.000,Jakarta Selatan,5.0,100+ terjual
Laptop Lenovo Thinkpad T14 G3 G2 Core i7 i5 12th Gen IPS FHD 16GB 1TB,Rp5.350.000,Jakarta Pusat,4.9,250+ terjual
Laptop MSI Modern 13 F13MG Intel core i5-1335U RAM 8GB 512GB SSD W11,Rp8.399.000,Jakarta Pusat,5.0,100+ terjual
Apple Laptop Bekas MacbookPro Intel Core i5 Gen 3 RAM 8G 256GB SSD Desain Belajar Bekerja Hiburan Harga Sangat Murah Gratis Mouse dan Tas Komputer,Rp3.399.000,Tangerang,5.0,15 terjual
"Axioo MyBook HYPE 3 Core i3-1005G1 RAM 8GB 256GB SSD 14"" FHD IPS",Rp4.999.000,Jakarta Pusat,5.0,1rb+ terjual
LAPTOP HP INTEL CELERON RAM 8GB HDD 1000GB | WIN 10,Rp1.850.000,Jakarta Barat,4.6,500+ terjual
"Asus Vivobook F1504ZA i5 1235 16GB 512GB SSD 15.6"" FHD Windows 11",Rp7.499.000,Jakarta Selatan,5.0,30+ terjual
LAPTOP ASUS VIVOBOOK X1404VA I7 1355 I3 1315 16GB 8GB 512GB SSD 14.0FHD IPS,Rp5.899.000,Jakarta Utara,5.0,500+ terjual
ASUS VIVOBOOK 15 F1502ZA / F1504ZA TOUCH CORE I7 1255 16GB 512GB SSD 15.6' FHD IPS,Rp9.692.000,Jakarta Utara,5.0,20 terjual
ULTRABOOK DELL 7390 i5-8350U GEN 8 / 16GB RAM / SSD 256GB / FHD IPS,Rp2.650.000,Bogor,5.0,1 terjual
FUULSET DELL XPS 9360 i5-7300 Gen 7 / 8GB / SSD 256GB / BAZELLES,Rp2.700.000,Bogor,5.0,15 terjual
